,eid,doi,pii,pubmed_id,title,subtype,subtypeDescription,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,description,authkeywords,citedby_count,openaccess,freetoread,freetoreadLabel,fund_acr,fund_no,fund_sponsor
269,2-s2.0-85077058641,10.1590/S2178-14942019000200005,,,"Social sciences, diplomacy and late colonialism: The Portuguese participation in the Commission for Technical Co-operation in Africa South of the Sahara (CCTA)",ar,Article,Ágoas F.,60106455;60105900;60031875,"University of Coimbra, Centre for Social Studies;Faculdade de Ciências Sociais e Humanas da Universidade NOVA de Lisboa;Universidade Nova de Lisboa",Coimbra;Lisbon;Lisbon,Portugal;Portugal;Portugal,2,"Ágoas, Frederico;Castelo, Cláudia",57194622659;6602795178,60031875-60105900;60106455,2019-01-01,2019,Estudos Historicos,,21100887850,21781494,Journal,32,67,,410-428,"Established in the second post-war period, in a context of growing opposition to colonialism and as a response of the European colonial powers to the scientific interest of the United Nations and North-American academic circles in Africa, the Commission for Technical Co-operation in Africa South of the Sahara (CCTA) paid particular attention to social studies, establishing a research agenda parallel to that of the United Nations Educational, Scientific and Cultural Organization (UNESCO). Based on the diplomatic and scientific colonial archives, the article analyzes the activity of the CCTA in that domain and, above all, the Portuguese participation in these dynamics, determining the relative importance of the country in their promotion and their reflexes in the field of social sciences in Portugal.",CCTA | Colonialism | Portugal | Sociology | Unesco,5,1,repositoryam,Green,,undefined,
270,2-s2.0-85075621722,10.4000/philosophiascientiae.2064,,,Science diplomacy. On several basic notions and key questions,ch,Book Chapter,Ruffini P.B.,60012570,Université Le Havre Normandie,Le Havre,France,1,"Ruffini, Pierre Bruno",57203587459,60012570,2019-01-01,2019,Philosophia Scientiae,12812463,21100228083,17754283,Book Series,23,3,,67-80,"“Science diplomacy” appeared some ten years ago in the vocabulary of international relations but it still remains poorly known, a frequent mistake being to confuse it with international scientific cooperation. Drawing on examples taken from history and from the present nature of international relations, this text can be read as a general introduction to science diplomacy, which belongs to the field of public policies and covers various practices. We identify these from the main objectives pursued by the States that engage in science diplomacy: attraction, cooperation, influence.",,3,1,publisherfree2read,Bronze,NSF,undefined,National Science Foundation
271,2-s2.0-85072694495,10.17159/sajs.2019/a0314,,,The Academy of Science of South Africa and science diplomacy,no,Note,Maphosa S.,60094824,Academy of Science of South Africa,Pretoria,South Africa,1,"Maphosa, Stanley",57211119246,60094824,2019-01-01,2019,South African Journal of Science,,24880,19967489,Journal,115,9-10,a0314,,,ASSAf | Gender equality | National System of Innovation | Science advice | Young scientists,0,1,publisherfullgold,Gold,WHO,undefined,World Health Organization
272,2-s2.0-85072639976,,,,The EU’s approach to transatlantic science and research relations: Between ‘Laissez faire’ and ‘science diplomacy’,ar,Article,Prange-Gstöhl H.,60026810,Vrije Universiteit Brussel,Brussels,Belgium,1,"Prange-Gstöhl, Heiko",33467917200,60026810,2019-01-01,2019,European Foreign Affairs Review,13846299,24567,18758223,Journal,24,,,81-98,"This article assesses and explains the emergence, forms and extent of the EU-US science and research relations. It does so through the lens of ‘soft power’ since international cooperation in science and research is increasingly seen as an instrument of ‘soft power’ and a mechanism for improving international relations more generally. Drawing on the concept of ‘actorness’ I argue that the forms of engagement with the US are limited to a ‘laissez faire’ approach combined with elements of ‘science diplomacy’. However, there is no evidence that the EU uses science and research actively as a ‘soft power’ tool by trying to shape the behaviour of actors in order to push for policy outcomes the EU wants to see in other policy areas. As long as science and research policy in the EU is characterized by both a highly fragmented governance structure, and competitiveness and sovereignty concerns amongst Member States, the use of science and research as a ‘soft power’ tool in transatlantic relations remains uncharted territory.",,2,0,,,NSF,undefined,National Science Foundation
273,2-s2.0-85072638282,,,,Evolution of science diplomacy and its local-global applications,ar,Article,Berkman P.A.,60023143,Tufts University,Medford,United States,1,"Berkman, Paul Arthur",7004899169,60023143,2019-01-01,2019,European Foreign Affairs Review,13846299,24567,18758223,Journal,24,,,63-80,"The unambiguous reality of human civilization is that we now are globally interconnected. This fact is revealed by ‘world wars’, which happened for the first time in the history of humankind only in the last century. In context, global human population size has grown more than 1000% since the advent of the nation-state with the Treaty of Westphalia in 1648. During this period, the influence of Science, Technology and Innovation (STI) has been expanding, certainly since the industrial revolution around 1800 when the human population reached 1 billion, accelerating to 8 billion people as we enter the next decade during our digital revolution. The challenges are on a planetary scale, as reflected further by concern about Earth’s climate, crossing the spectrum of sub-national to international jurisdictions with the nation-state at the centre. As an example, science diplomacy from the polar regions illustrates how transatlantic science relations are embedded into a global context. With hope and inspiration from the perspective of a practitioner and observer, the evolution of science diplomacy is shared herein with local-global applications as an international, interdisciplinary and inclusive (holistic) process, involving informed decision-making to balance national interests and common interests for the benefit of all on Earth across generations.",,23,0,,,NSF,1660449,National Science Foundation
274,2-s2.0-85063752093,10.1017/S1743921319000309,,,Patterns to scientific internationalism: What can a comparative history of IAU and IUPAP teach us?,ar,Article,Lalli R.,60008241,Max Planck Institute for the History of Science,Berlin,Germany,1,"Lalli, Roberto",26321648000,60008241,2019-01-01,2019,Proceedings of the International Astronomical Union,17439213,5000157802,17439221,Book Series,13,S349,,189-196,"International scientific institutions are preferred settings to explore prominent topics in the transnational approaches to the recent history of science. These include: the dichotomy between universalism and contextualism in the historical evolution of exact sciences; the historical transformation of the ideals of scientific internationalism; the tensions between these historically changing ideals and scientists' national allegiances; the balance between scientific and diplomatic activities of such institutions; and the issue of how the complex ideological, socio-political roles these institutions play affected the actual evolution of science. Inspired by these overreaching themes, the paper presents a conceptual framework for pursuing a comparative analysis of IAU and IUPAP. A bird's-eye view of the parallel historical developments of these two unions shows that, in spite of their common origins in the highly politicised context of the post-WWI reconstruction of international cooperation, IAU and IUPAP followed diverging trajectories in many respects. It is argued that a deeper study of these differences might give important insights to properly understand the relevance of specific disciplines' scientific needs in the way the ideals and practices of scientific internationalism were actualised through the 20th century.",IUPAP | Science diplomacy | Scientific internationalism,1,1,publisherfree2read,Bronze,,undefined,
275,2-s2.0-85059670533,10.24241/rcai.2018.120.3.241,,,The science and culture of memory in Serbian diplomacy,ar,Article,Pantović B.,60120700;60023070,Universidad Nacional de Río Negro;Universidad Nacional de La Matanza,Viedma;San Justo,Argentina;Argentina,2,"Pantović, Branislav;Michelini, Gabriela",57205347936;57205349572,60120700;60023070,2018-12-01,1 December 2018,Revista CIDOB d'Afers Internacionals,11336595,21100468970,2013035X,Journal,,120,,241-258,"La participación de científicos en las estrategias de política exterior ocupa pocas páginas en los estudios de relaciones internacionales de los países no hegemónicos. Este texto analiza un estudio de caso sobre la diplomacia de la ciencia de Serbia -un país no hegemónico, pequeño y sin recursos considerables- en el contexto de la cultura de la memoria como desafío global. Para ello, primero, se introducen algunos conceptos para interpretar la relación entre ciencia y diplomacia; segundo, se describe y analiza el caso y se presentan los mecanismos de articulación que permiten constatar la operatividad plausible de la diplomacia de la ciencia como espacio compartido para la consolidación de estrategias de política exterior; y, por último, se ofrece un balance y conclusiones.",Ciencia | Cultura | Culture | Desafíos globales | Diplomacia | Diplomacy | Global challenges | International relations | Memoria | Memory | Relaciones internacionales | Science | Second World War | Segunda Guerra Mundial | Serbia | Serbia,1,1,repositoryvor,Green,,undefined,Ministerio de Asuntos Exteriores y de Cooperación
276,2-s2.0-85057499937,10.1111/1758-5899.12589,,,Accelerating Basic Science in an Intergovernmental Framework: Learning from CERN's Science Diplomacy,ar,Article,Höne K.E.,118632348,DiploFoundation,Geneva,Switzerland,2,"Höne, Katharina E.;Kurbalija, Jovan",57204839212;8208149900,118632348;118632348,2018-11-01,November 2018,Global Policy,17585880,21100238638,17585899,Journal,9,,,67-72,"CERN offers a highly relevant case to probe some of the assumptions of current debates on science diplomacy. Building on the existing literature and a number of expert interviews, this article discusses the origin of CERN, its governance structure, and the particular constellation of interests that form part of CERN's science diplomacy. We understand science diplomacy as a practice and explore this at the intersection between goals and values, everyday conduct, and the governance structure guiding interactions. Reaching beyond CERN as a specific case, we address the tension at the heart of science diplomacy debates between promoting peaceful relations and furthering strategic and national interests. We argue that it is precisely within this tension that science diplomacy unfolds. Further, the particular governance structure that CERN employs emerges as a blueprint for supporting a level playing field between scientists and diplomats and promoting scientific goals beyond narrow political considerations. Lastly, we make suggestions for capacity building and training in science diplomacy that focus on bringing the ‘world of science’ and the ‘world of diplomacy’, a distinction which emerged prominently from the literature and the interviews, together in useful ways.",,10,1,publisherfree2read,Bronze,,undefined,
277,2-s2.0-85057498936,10.1111/1758-5899.12624,,,UNESCO: Scientific Humanism and its Impact on Multilateral Diplomacy,ar,Article,Singh J.P.,60018319,George Mason University,Fairfax,United States,1,"Singh, J. P.",57213875812,60018319,2018-11-01,November 2018,Global Policy,17585880,21100238638,17585899,Journal,9,,,53-59,"The S of UNESCO stands for science, and provided some impetus for UNESCO's creation. This essay critically examines the ways in which science diplomacy at the multilateral level was mobilized to produce UNESCO's vision for a ‘culture of peace’. Underlying UNESCO's vision was the diplomacy of scientific humanism, best articulated in the words and person of its first Director-General Julian Huxley, himself a scientist. The scientific method was the axiom that would bring diverse communities together. After examining the humanism of science diplomacy, this essay outlines two major effects of UNESCO's science diplomacy: science diplomacy networks and programs. The S of UNESCO contributed to global beliefs in multilateral diplomacy as a way of resolving conflicts, especially in further propagating the use of scientific evidence in multilateral negotiations. The essay also outlines the limits of these science networks, institutions, and scientific evidence in multilateral diplomacy although science may well be the unsung ‘hero’ of an otherwise highly politicized UNESCO.",,5,1,publisherfree2read,Bronze,,undefined,
278,2-s2.0-85057489386,10.1111/1758-5899.12620,,,Rebalancing the Encounter between Science Diplomacy and International Relations Theory,ar,Article,Kaltofen C.,60118523;60022148,Melbourne School of Design;University College London,Melbourne;London,Australia;United Kingdom,2,"Kaltofen, Carolin;Acuto, Michele",55598716100;26021005000,60022148;60118523,2018-11-01,November 2018,Global Policy,17585880,21100238638,17585899,Journal,9,,,15-22,"Whether it is in climate change negotiations, pandemic scares, security threats or sustainable development agendas, science and technology are today at the heart of international affairs. Yet there is still limited academic work that deals with the complex relationships between international diplomatic and scientific endeavours. How can we bridge this divide and possibly ‘rebalance’ the encounter between the practice of science diplomacy, its practitioner-driven literature, and the discussions of international relations theory (IR) that underpin the study of world politics? Here we propose that this move could start from a more explicit placing of science diplomacy discussions across the IR spectrum. We pose that taking seriously science ‘diplomacy’, whilst undoing conventions around the hitherto limited ‘IR’ reading of science in its literature, would do well in establishing this reality not just as a domain of reflective practitioners, but as an effective launchpad for international theorizing as much as more academically-driven practice.",,15,1,repositoryam,Green,,undefined,
279,2-s2.0-85057473540,10.1111/1758-5899.12622,,,The Evolution of Science Diplomacy,ar,Article,Turekian V.,60022148,University College London,London,United Kingdom,1,"Turekian, Vaughan",36921642300,60022148,2018-11-01,November 2018,Global Policy,17585880,21100238638,17585899,Journal,9,,,5-7,"The past decade has witnessed the emergence of science diplomacy, both as a formalized set of operations and new field of study and research (Lord and Turekian,). A number of factors continue to drive this trend, but the most important one is the recognition that (1) more and more, major challenges are international in nature and that (2) science and its applications are part of the cause as well as the cure. As a result, while much of the international science regime is still focused on discovery, there is an increasing need/demand for the integration of science cooperation in international relations. This article provides a brief overview of the evolution of science diplomacy over the past decades (and beyond) with special focus on recent developments. It will conclude by looking forward.",,39,1,publisherfree2read,Bronze,,undefined,
280,2-s2.0-85057468304,10.1111/1758-5899.12625,,,CSIRTs and Global Cybersecurity: How Technical Experts Support Science Diplomacy,ar,Article,Tanczer L.M.,60022148,University College London,London,United Kingdom,3,"Tanczer, Leonie Maria;Brass, Irina;Carr, Madeline",57190816291;57202448447;55859713100,60022148;60022148;60022148,2018-11-01,November 2018,Global Policy,17585880,21100238638,17585899,Journal,9,,,60-66,"Ongoing efforts by state actors to collaborate on addressing the challenges of global cybersecurity have been slow to yield results. Technical expert communities such as Computer Security and Incident Response Teams (CSIRTs) have played a fundamental role in maintaining the Internet's functional structure through transnational collaboration. Responsible for security incident management and located in diverse constituencies, these coordination centres engage in joint responses and solve day-to-day cybersecurity problems through diverse national, regional and international networks. This article argues that CSIRTs form an epistemic community that engages in science diplomacy, at times navigating geopolitical tensions in a way that political actors are not able to. Through interviews with CSIRT representatives, we explain how their collaborative actions, rooted in shared technical knowledge, norms and best practices, contribute to the advancement of international cooperation on cybersecurity.",,17,1,repositoryvor,Green,EPSRC,EP/N02334X/1,Engineering and Physical Sciences Research Council
281,2-s2.0-85057457363,10.1111/1758-5899.12621,,,Science Diplomacy: Introduction to a Boundary Problem,ar,Article,Kaltofen C.,60118523;60022148,Melbourne School of Design;University College London,Melbourne;London,Australia;United Kingdom,2,"Kaltofen, Carolin;Acuto, Michele",55598716100;26021005000,60022148;60118523,2018-11-01,November 2018,Global Policy,17585880,21100238638,17585899,Journal,9,,,8-14,"Scientific advancements, their application through technological development, and world politics have been long acknowledged as affecting each other, and are today more than ever at the heart of global policy. Speaking of ‘science diplomacy’ as the encounter of world politics and the world of science at the heart of these advancements might be a unique window into our time. This potential is what prompts this special issue to gather views from a variety of scholarly and practical viewpoints, linking the well-established world of reflective practitioners in science diplomacy to the growing field of international relations (IR) scholars theorising this realm. Can speaking of ‘science diplomacy’ situate our attention at the crossroads of science and international relations, and spur greater appreciation for their intersections? This introduction to the special issue summarises the rise of science diplomacy as field of inquiry, and casts questions as to the need to advance, where not reform, these conceptualisations. It defines science diplomacy as a ‘boundary problem’ par excellence and emphasises its ‘productive tension’ that emerges between the various ways of knowing of actors belonging to ‘different social worlds’, seeking to gather a productive tension of views on this theme in the issue.",,36,1,repositoryam,Green,,undefined,
282,2-s2.0-85053911115,10.3197/096734018X15137949592061,,,"The international biological program in eastern europe: Science diplomacy, comecon and the beginnings of ecology in Czechoslovakia",ar,Article,Olšáková D.,60031135,Academy of Sciences of the Czech Republic,Prague,Czech Republic,1,"Olšáková, Doubravka",55612630600,60031135,2018-11-01,November 2018,Environment and History,9673407,14691,17527023,Journal,24,4,,543-567,"The aim of this study is to analyse the international scientific policy of the countries of the Socialist Bloc in relation to the establishment of the International Biological Program. It focuses mainly on Czechoslovakia as one of the main active members of the IBP and as a close ally of the USSR when it entered the realm of international science policy after years of targeted isolation forced upon it during Stalinism. The study examines Soviet international science policy strategy and coordination from the reinstatement of Central and Eastern European countries as members of UNESCO and the ICSU to the occupation of the highest positions within IUBS and the contribution to establishing the definitive shape of the International Biological Program. The influence that socialist countries gained thanks to their international coordination efforts allowed them to modify the focus of the IBP to best meet their interests. As a result, they also ended up influencing the development and direction of the biological sciences in the 1970s and 1980s. From the perspective of institutional history, the specific infrastructure of the IBP led to the creation of not just new types of research groups and institutes but also scientific committees, which, thanks to their official status and inclusion in the IBP, and later MaB, gained political clout. New ecological paradigms and the open dialogue between scientists across the Iron Curtain within the IBP was the first serious crack in the monolithic approach of the Socialist Bloc towards the environment, through which the road to environmental initiatives – which were very frequently linked to anti-regime attitudes – led.",Cold war | Communism | Environmental history | History of science | Science diplomacy | Science policy,3,0,,,,undefined,United Nations
283,2-s2.0-85052381201,10.1111/1758-5899.12588,,,The Intergovernmental Panel on Climate Change and the Science-Diplomacy Nexus,ar,Article,Ruffini P.B.,60012570,Université Le Havre Normandie,Le Havre,France,1,"Ruffini, Pierre Bruno",57203587459,60012570,2018-11-01,November 2018,Global Policy,17585880,21100238638,17585899,Journal,9,,,73-77,"In this article, we address the climate change issue through the lens of science diplomacy. We contribute to analyzing the mechanisms by which, in the international climate regime, the issues of science intermingle with those of diplomacy. We use the term ‘nexus’ to designate the interactions between the dynamics of science itself and the dynamics of diplomacy. We focus on the critical role played by the IPCC in the formation of this nexus. We argue that the extent to which diplomats understand and use scientific knowledge as well as that the clashing of national interests during major negotiations can jeopardize science diplomacy effectiveness. We thus explain why the large consensus that exists among scientists about the origins and long-term risks of climate change does not translate into a consensus among diplomats over an appropriate course of action. These findings illustrate the limits of ‘science in diplomacy’.",,17,1,publisherfree2read,Bronze,,undefined,
284,2-s2.0-85050490168,10.1111/1758-5899.12576,,,Science Diplomacy and Trust Building: ‘Science China’ in the Arctic,ar,Article,Su P.,60073652;60014402,Tongji University;Renmin University of China,Shanghai;Beijing,China;China,2,"Su, Ping;Mayer, Maximilian",57201203206;35763041100,60073652;60014402,2018-11-01,November 2018,Global Policy,17585880,21100238638,17585899,Journal,9,,,23-28,"Science diplomacy creates possibilities for trust building in international relations. We draw on studies of science, diplomacy, and trust in IR and explore Chinese scientific activities in the Arctic in order to sketch out four mechanisms that produce procedural and generalized forms of trust: the sharing of resources and infrastructure, personal interactions, science-based institutions, and spillover effects. The materials of the case of ‘science China’ also help to question assumptions about science diplomacy in IR as they illustrate its inherent tensions, boundaries, and limitations.",,23,1,publisherfree2read,Bronze,MOE,批准号2015 BGJ004,Ministry of Education - Singapore
285,2-s2.0-85046165131,10.1111/1758-5899.12565,,,"Science Diplomacy, Epistemic Communities, and Practice in Sub-Saharan Africa",ar,Article,Hornsby D.J.,60017592;110515149,Carleton University;South African Institute of International Affairs,Ottawa;Johannesburg,Canada;South Africa,2,"Hornsby, David J.;Parshotam, Asmita",8752882900;57201795406,60017592;110515149,2018-11-01,November 2018,Global Policy,17585880,21100238638,17585899,Journal,9,,,29-34,"For many states in Sub-Saharan Africa, the capacity to participate in the international food standard setting process continues to be a challenge. The scientific and technical capacity for many states in this region remains low. This has consequences for African states beyond international food standard setting but for trade and economic development as well. The present paper considers how science diplomacy is mobilised to improve African scientific capacity and participation in international standard setting and thus the multilateral trading system. Through the conceptual frame of epistemic communities, we argue that science diplomacy is exemplified through how scientific expertise embedded within a set of international institutions seeks to build capacity and participation of African states in this important, yet often little considered aspect of international governance.",,6,1,repositoryam,Green,,undefined,
286,2-s2.0-85045219893,10.1111/1758-5899.12520,,,Scientist Diplomats or Diplomat Scientists: Who Makes Science Diplomacy Effective?,ar,Article,Moomaw W.,60023143,Tufts University,Medford,United States,1,"Moomaw, William R.",35584850100,60023143,2018-11-01,November 2018,Global Policy,17585880,21100238638,17585899,Journal,9,,,78-80,"Successful science-based policies build upon the pillar of sound science, while meeting the needs of diverse societies in an economically and politically feasible manner. How do scientists and diplomats interact most productively too achieve a successful outcome?.",,8,1,publisherfree2read,Bronze,,undefined,
287,2-s2.0-85045194901,10.1111/1758-5899.12546,,,Between a Carrot and a Stick: Science Diplomacy and Access to EU Research Funding,ar,Article,Leese M.,60025858,ETH Zürich,"Zurich ZH,",Switzerland,1,"Leese, Matthias",55804091600,60025858,2018-11-01,November 2018,Global Policy,17585880,21100238638,17585899,Journal,9,,,48-52,"This article engages the EU's approach to science diplomacy through the case of the Swiss ‘mass migration initiative’ in 2014. The legislative proposal, legally binding through its adoption by Swiss voters, obliged the Swiss government to take sovereign control over migration management, thereby preventing the ratification of the ‘Croatia Protocol’ that would have, through the EU regime of free movement of persons and the bilateral treaties between Switzerland and the EU, granted Croatian citizens free movement to Switzerland. As the refusal to ratify the protocol effectively undercut the bilateral treaties, the EU Commission in turn used the Swiss participation in the European research funding framework Horizon 2020 as leverage to enforce Swiss compliance to the bilateral treaties. This eventually compelled the Swiss government to ratify the Croatia Protocol despite the domestic legal clash with the ‘mass migration initiative’ proposal. Conceptually, the article turns the attention to contradicting policy goals in an emerging EU science diplomacy framework, and shows how science diplomacy in the conflict around the Croatia Protocol got stuck between a liberal ‘carrot’ and a realist ‘stick’.",,3,1,publisherfree2read,Bronze,,undefined,
288,2-s2.0-85045188650,10.1111/1758-5899.12515,,,Science Diplomacy within Sustainable Development: A SIDS Perspective,ar,Article,Elizabeth Thompson H.,121698714,Isada Consulting Group,,United States,1,"Elizabeth Thompson, H.",57201523061,121698714,2018-11-01,November 2018,Global Policy,17585880,21100238638,17585899,Journal,9,,,45-47,"Should science and its products be considered global public goods? An important question that is currently at the heart of multilateral negotiations on sustainable development. There is no doubt that scientific knowledge and its application have benefited billions across the globe. As the multilateral system seeks to implement the new development platform represented by the Sustainable Development Goals (SDGs), there is increasing acceptance of a distinct role for world-class scientific knowledge and technological understanding in diplomacy. In this evolution of the interface of science with politics, the work of the scientist is being increasingly brought into the halls of political power to inform policy formulation at national, regional and international levels with the aim of improving the human condition. However, the architecture and outcomes of the interactions between science and diplomacy are not without challenge, particularly in how they connect with political pragmatism. In this article, I aim to draw lessons from two diplomatic contexts in which I have worked. The first, as a Minister and international representative of Barbados, a Small Island Developing State (SIDS); and the second, as Assistant Secretary General of the UN and Executive Coordinator of the 2012 UN Conference on Sustainable Development.",,3,1,publisherfree2read,Bronze,,undefined,
289,2-s2.0-85058935135,10.1515/pac-2018-0908,,,Innovative technologies for chemical security,cp,Conference Paper,Forman J.E.,60159830;60123791;60091645;60072656;60071743;60071612;60071491;60069682;60068732;60046703;60039934;60032361;60028218;60027282;60026553;60026242;60024621;60023137;60020872;60009998;60007616;124030545;122241681;121419326;101202059;100772980;100713778,"Organisation for the Prohibition of Chemical Weapons;The Institute of Pharmaceutical Sciences (TIPS);Université de Tunis El Manar, Faculté des Sciences de Tunis;University of Mauritius;Sudan University of Science and Technology;Universidad de la Republica;University of the Philippines Diliman;Institut za Medicinska Istrazivanja i Medicinu Rada;Norwegian Defence Research Establishment;Universidad de La Habana;Pakistan Atomic Energy Commission;Pontifícia Universidade Católica do Rio de Janeiro;Alma Mater Studiorum Università di Bologna;Universidad Complutense de Madrid;University of Melbourne;Defence Science and Technology Laboratory;National Institute of Advanced Industrial Science and Technology;Taras Shevchenko National University of Kyiv;U.S. Department of State;NECSA;BASF SE;National Defence University;Institute of Pesticide Formulation Technology (IPFT);BAI Scientific;Secrétariat Général de la Défense et de la Sécurité Nationale (SGDSN);Ministry of Science;Spiez Laboratory","The Hague;Tehran;Tunis;Reduit;Khartoum;Montevideo;Quezon City;Zagreb;Skedsmokorset;Havana;Islamabad;Rio de Janeiro;Bologna;Madrid;Melbourne;Salisbury;Tsukuba;Kyiv;Washington, D.C.;Pretoria;Ludwigshafen;Beijing;Gurugram;Melbourne;Paris;Brasilia;Spiez",Netherlands;Iran;Tunisia;Mauritius;Sudan;Uruguay;Philippines;Croatia;Norway;Cuba;Pakistan;Brazil;Italy;Spain;Australia;United Kingdom;Japan;Ukraine;United States;South Africa;Germany;China;India;Australia;France;Brazil;Switzerland,31,"Forman, Jonathan E.;Timperley, Christopher M.;Aas, Pål;Abdollahi, Mohammad;Alonso, Isel Pascual;Baulig, Augustin;Becker-Arnold, Renate;Borrett, Veronica;Carinõ, Flerida A.;Curty, Christophe;Gonzalez, David;Kovarik, Zrinka;Martínez-Álvarez, Roberto;Mikulak, Robert;De Souza Nogueria, Evandro;Ramasami, Ponnadurai;Raza, Syed K.;Saeed, Ahmed E.M.;Takeuchi, Koji;Tang, Cheng;Trifirò, Ferruccio;Van Straten, Francois Mauritz;Waqar, Farhat;Zaitsev, Volodymyr;Zina, Mongia Saïd;Grolmusová, Katarína;Valente, Guy;Payva, Marlene;Sun, Siqing;Yang, Amy;Van Eerten, Darcy",57193879406;7003292706;7006202309;57200537974;57222259888;6602171734;57205189364;6506132876;6603658462;6506751809;34771020300;6603587545;7003954503;57198450456;57215913134;6508051428;56278316200;57197652659;57225728960;57203281067;35478707600;57202132255;6507877772;12144153100;6506537569;57215917624;57215915845;57215915766;57202132902;57215917653;58096585400,60159830;60026242;60068732;60123791;60046703;101202059;60007616;121419326-60026553;60071491;100713778;60071612;60069682;60027282;60020872;100772980;60072656;122241681;60071743;60024621;124030545;60028218;60009998;60039934;60023137-60032361;60091645;60159830;60159830;60159830;60159830;60159830;60159830,2018-10-01,1 October 2018,Pure and Applied Chemistry,334545,21458,13653075,Journal,90,10,,1527-1557,"Advances across the chemical and biological (life) sciences are increasingly enabled by ideas and tools from sectors outside these disciplines, with information and communication technologies playing a key role across 21st century scientific development. In the face of rapid technological change, the Organisation for the Prohibition of Chemical Weapons (OPCW), the implementing body of the Chemical Weapons Convention (""the Convention""), seeks technological opportunities to strengthen capabilities in the field of chemical disarmament. The OPCW Scientific Advisory Board (SAB) in its review of developments in science and technology examined the potential uses of emerging technologies for the implementation of the Convention at a workshop entitled ""Innovative Technologies for Chemical Security"", held from 3 to 5 July 2017, in Rio de Janeiro, Brazil. The event, organized in cooperation with the International Union of Pure and Applied Chemistry (IUPAC), the National Academies of Science, Engineering and Medicine of the United States of America, the Brazilian Academy of Sciences, and the Brazilian Chemical Society, was attended by 45 scientists and engineers from 22 countries. Their insights into the use of innovative technological tools and how they might benefit chemical disarmament and non-proliferation informed the SAB's report on developments in science and technology for the Fourth Review Conference of the Convention (to be held in November 2018), and are described herein, as are recommendations that the SAB submitted to the OPCW Director-General and the States Parties of the Convention. It is concluded that technologies exist or are under development that could be used for investigations, contingency, assistance and protection, reducing risks to inspectors, and enhancing sampling and analysis.",chemical weapons | Chemical Weapons Convention 2017 | emerging technologies | if plants could talk | innovation | inspector | Organisation for the Prohibition of Chemical Weapons (OPCW) | precision agriculture | remote sensing | science diplomacy | sensor | unmanned aerial vehicle (UAV) | unmanned ground vehicle (UGV),5,1,repositoryvor,Green,,undefined,
